Timestamp,Image,Verdict,AreaScore,AnomalyCount,PixelVerdict,SSIM,Time
2026-01-06 19:59:11,test_image,Anomaly,24.4088,2,Anomaly,0.5917,0.37
2026-01-07 11:57:39,test_image,Normal,0.3472,8,Normal,0.7085,0.07
